rowid;cor_raca;genero;outros_grupos;participou
46;Preta;Feminino;Moradora de periferia;NA
47;Branca;Feminino;Não faço parte de nenhum dos grupos acima;sim
48;Branca;Não binário;LGBTQIA+;sim
49;Parda;Feminino;Não faço parte de nenhum dos grupos acima;sim
50;Branca;Feminino;Mãe;NA
51;Branca;Feminino;LGBTQIA+;NA
52;Branca;Feminino;Não faço parte de nenhum dos grupos acima;sim
53;Branca;Feminino;Não faço parte de nenhum dos grupos acima;NA
54;Preta;Feminino;Idade acima de 40 anos;sim
55;Preta;Masculino;LGBTQIA+;NA
56;Branca;Não binário;LGBTQIA+;sim
57;Parda;Feminino;LGBTQIA+;sim
58;Branca;Feminino;LGBTQIA+;NA
59;Branca;Feminino;Não faço parte de nenhum dos grupos acima;NA
60;Branca;Feminino;Não faço parte de nenhum dos grupos acima;sim
61;Branca;Feminino;LGBTQIA+;sim
62;Preta;Feminino;Não faço parte de nenhum dos grupos acima;NA
63;Branca;Feminino;LGBTQIA+;NA
64;Amarela;Feminino;Não faço parte de nenhum dos grupos acima;NA
65;Branca;Feminino;Não faço parte de nenhum dos grupos acima;sim
66;Preta;Feminino;Moradora de periferia;sim
67;Preta;Feminino;Não faço parte de nenhum dos grupos acima;sim
68;Branca;Feminino;LGBTQIA+;NA
69;Branca;Feminino;LGBTQIA+;NA
70;Preta;Não binário;LGBTQIA+, Moradora de periferia;sim
71;Branca;Feminino;LGBTQIA+;sim
72;Branca;Feminino;LGBTQIA+;NA
73;Branca;Feminino;Não faço parte de nenhum dos grupos acima;NA
74;Branca;Feminino;Mãe;NA
75;Branca;Não binário;LGBTQIA+, Idade acima de 40 anos, Moradora de periferia;NA
76;Parda;Feminino;Pessoa com deficiência;sim
77;Não informado;Não informado;Não informado;sim
78;Branca;Feminino;Não faço parte de nenhum dos grupos acima;sim
79;Multiétnico;Feminino;Não faço parte de nenhum dos grupos acima;sim
80;Branca;Feminino;Não faço parte de nenhum dos grupos acima;sim
81;Preta;Feminino;Moradora de periferia;sim
82;Branca;Feminino;Não informado;sim
83;Branca;Feminino;Mãe, Idade acima de 40 anos;sim
84;Branca;Feminino;Não faço parte de nenhum dos grupos acima;sim
85;Branca;Feminino;Mãe, Idade acima de 40 anos;NA
86;Parda;Feminino;Mãe;sim
87;Branca;Feminino;Não faço parte de nenhum dos grupos acima;NA
88;Branca;Feminino;LGBTQIA+;sim
89;Branca;Feminino;Não faço parte de nenhum dos grupos acima;NA
90;Branca;Feminino;Não faço parte de nenhum dos grupos acima;sim
91;Preta;Feminino;Não informado;NA
92;Parda;Masculino;Não faço parte de nenhum dos grupos acima, Moradora de periferia;sim
93;Parda;Feminino;LGBTQIA+;sim
94;Parda;Masculino;Não faço parte de nenhum dos grupos acima, Morador de periferia;NA
95;Parda;Feminino;Não faço parte de nenhum dos grupos acima;sim
96;Preta;Feminino;Moradora de periferia;NA
97;Parda;Feminino;Mãe;sim
98;Parda;Feminino;LGBTQIA+, Moradora de periferia;NA
99;Parda;Feminino;Migrante, Moradora de periferia;NA
100;Amarela;Feminino;Não faço parte de nenhum dos grupos acima;NA
